Dimension,Verdict,Evidence
Catastrophic forgetting,WIN,23.0% vs 92.0% (naive) / 32.0% (replay)
Inference energy,WIN,"0.316 uJ vs 1.768 uJ, zero dense MACs"
Accuracy per joule,WIN,182.0 vs 35.5
Learned-memory bound,WIN,64 KB flat vs 919 KB growing
Privacy,WIN,"112-byte non-invertible codes, no raw data retained"
Absolute accuracy,LOSS,56.2 ± 4.6% vs 63.1 ± 3.5%
Training energy,LOSS,"9,845 uJ vs 3,343 uJ"
Total resident memory,LOSS,"4,288 KB vs 2,508 KB"
Wall-clock latency,LOSS,2.58 ms vs 0.14 ms (NumPy/CPU)
Few-shot acquisition,LOSS,~50 shots vs ~10 shots
